Dispensarios,Phone
Executive Cannabis 1,7875985012
Executive Cannabis 2,7873414496
Executive Cannabis 3,7874594371
Executive Cannabis 4,7875167749
Yerba Santa 1,7875569188
Yerba Santa 2,7873216101
Yerba Santa 3,7873217198
New Roots 1,7879227421
New Roots 2,7875988188
New Roots 3,7876498134
Green Dreams 1,9392925297
Green Dreams 2,9395390108
Green Dreams 3,7872386874
Green Dreams 4,9395392954
Green Dreams 5,7873728307
Healing Zone - Humacao 1,7872076508
Healing Zone - Humacao 2,7879818885
Healing Zone - Humacao 3,7873635193
Healing Zone - Humacao 4,9392467129
Healing Zone - Humacao 5,7874783887
Healing Zone - Humacao 6,7873612171
Healing Zone - Humacao 7,9397755193
Healing Zone - Humacao 8,7874775243
Frontiers Medical Humacao 1,9392600516
Frontiers Medical Humacao 2,9392608126
Frontiers Medical Humacao 3,7876883306
Frontiers Medical Humacao 4,9394140093
Frontiers Medical Humacao 5,9392800103
Frontiers Medical Humacao 6,7879664801
Frontiers Medical Humacao 7,7875046209
Frontiers Medical Humacao 8,7879140467
Frontiers Medical Humacao 9,7879499251
Earth Gift - Caguas 1,7873685649
Earth Gift - Caguas 2,7872090823
Earth Gift - Caguas 3,9392569014
Earth Gift - Caguas 4,7876880113
Earth Gift - Caguas 5,7876888862
