Dispensarios,Fecha
BioGrow 1,9392276467
BioGrow 2,7879513987
BioGrow 3,7874003488
BioGrow 4,7876251999
Four Point 1,7872469219
Four Point 2,9392950241
Four Point 3,7875162453
Four Point 4,7873661420
THC - Barceloneta 1,7875794157
THC - Barceloneta 2,7874523056
THC - Barceloneta 3,9396331649
THC - Barceloneta 4,7874463122
THC - Barceloneta 5,9392999220
Kaya 1,7874300681
Kaya 2,7879340199
Kaya 3,9394895917
Kaya 4,7877029530
THC - Barceloneta 1,7873562296
THC - Barceloneta 2,7875153624
THC - Barceloneta 3,7873466069
Cannacity - Manati 1,7873873027
Cannacity - Manati 2,7876750067
Cannacity - Manati 3,7875981215
Cannacity - Manati 4,9392923975
Cannacity - Manati 5,9396448828
Cannacity - Manati 6,7875603607
Cannacity - Bayamon 1,7872929930
Cannacity - Bayamon 2,7873675913
Cannacity - Bayamon 3,7873671897
Cannacity - Bayamon 4,7876142269
Cannacity - Bayamon 5,7875134207
Cannacity - Bayamon 6,7874201996
Cannacity - Bayamon 7,7875938744
Cannacity - Bayamon 8,7879006846
Cannacity - Bayamon 9,7873847009
Frontiers Medical Caguas 1,7874364334
Frontiers Medical Caguas 2,7875983092
Frontiers Medical Caguas 3,9394992223
Frontiers Medical Caguas 4,7879145483
Frontiers Medical Caguas 5,7876625301
Frontiers Medical Caguas 6,7876051978
Frontiers Medical Caguas 7,9394140093
Frontiers Medical Caguas 8,7879418307
Alternative Therapy Caguas 1,7875038059
Alternative Therapy Caguas 2,7873823429
Alternative Therapy Caguas 3,7876359595
Alternative Therapy Caguas 4,7876423958
Alternative Therapy Caguas 5,7873600827
Alternative Therapy Caguas 6,7873064466
Healing Zone - Caguas 1,7874095999
Healing Zone - Caguas 2,7876348088
Healing Zone - Caguas 3,9392864682
THC - Punta Las Marias 1,7873669792
THC - Punta Las Marias 2,9392168774
THC - Punta Las Marias 3,7876393098
THC - Punta Las Marias 4,7879387130
